,t,G,Gp,Gt,Il,Ip,I1,Id,Qsto1,Qsto2,Qgut,X,SRsH,H,XH,Isc1,Isc2,Hsc1,Hsc2,D_1,t_1,D_2,t_2,D_3,t_3,pump_iob_0,pump_elapsed_0,pump_iob_1,pump_elapsed_1,pump_iob_2,pump_elapsed_2,pump_iob_3,pump_elapsed_3,pump_iob
0,0.0,120.0,178.8,129.39240506329116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95,93.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,119.97718456870302,178.7660050073675,129.2962642869954,0.0,0.0,0.0,0.0,14513.507968174728,211.3484552117486,0.4124299762700533,0.0,9.230585049327573,90.56135497979837,5.001863433415279e-05,0.0,0.0,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
2,2.0,119.9527833320195,178.72964716470904,129.2045682055398,0.09962481346067256,0.31069216207800293,0.02815464575073919,0.02815464575073919,28117.03291821335,1302.908092472642,30.317507524179206,0.34881166845471645,10.193222061308585,86.81142856171462,4.349934066206052e-05,232.91493622583016,3.8198049541038577,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
3,3.0,119.93518580925104,178.70342685578404,129.11213536055055,0.29651781801408605,0.5114388025883518,0.09632495347904625,0.09632495347904625,27359.928551349745,2510.7859747302114,117.21443719102574,1.1604993950935607,11.41273109347326,84.81172338814406,3.757443137375803e-05,228.71422686442895,7.501826517148321,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,120.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
4,4.0,119.93290457936179,178.70002782324906,129.01624229461987,0.5240235993955771,0.6806786578944245,0.1939468840947104,0.1939468840947104,26126.530002296768,3612.3479869537564,254.92566277481006,2.272599254108341,12.22106863391966,84.01258190335933,3.244523241927021e-05,224.58927913588977,11.049791856864932,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
5,5.0,119.95279539066978,178.72966513209798,128.91616203632248,0.7619333753647121,0.8403636353902662,0.3178306392359113,0.3178306392359113,24939.637060970646,4609.171653181214,437.2977370313432,3.6244900055555047,12.737911230343252,83.92371573378107,2.8055245752064005e-05,220.53872680747077,14.467338555169949,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,240.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
6,6.0,120.00024829229977,178.80036995552666,128.8122464348581,1.0034693772236645,0.9963607931912064,0.46682173906332397,0.46682173906332397,23806.497760691254,5508.484342867646,658.5942162417853,5.184901138553614,13.06792347505758,84.23116196341647,2.4320531270264822e-05,216.56122826014675,17.75801664161774,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,300.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
7,7.0,120.07939341606105,178.91829618993097,128.70550695692657,1.2478628035977102,1.1563015982279006,0.6408594670864025,0.6408594670864025,22724.8403571916,6317.213299665075,913.5030120453476,6.938408939637487,13.281262599519659,84.7422496973205,2.1158696472882892e-05,217.39099059794995,21.002953132326137,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,360.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
8,8.0,120.19327391738227,179.08797813689958,128.59734842139497,1.493521823280056,1.3117067920969465,0.8396471504004214,0.8396471504004214,21692.328892060716,7041.904246559926,1197.1018021041664,8.86773077742463,13.4213712796449,85.34278668375813,1.849523352649639e-05,213.4702640652487,24.125064834149157,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,420.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
9,9.0,120.34400439101287,179.31256654260918,128.4895203144814,1.7380129017065398,1.4639303656789877,1.062416024287642,1.062416024287642,20706.730470964674,7688.751686311106,1504.8223322207525,10.951296675907741,13.514975538012212,85.9659946017744,1.626470086947885e-05,209.62025013755746,27.127726555930934,0.0,0.0,30000.0,0.0,80000.0,240.0,100000.0,660.0,2.609999895095825,480.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609999895095825
