,t,G,Gp,Gt,Il,Ip,I1,Id,Qsto1,Qsto2,Qgut,X,SRsH,H,XH,Isc1,Isc2,Hsc1,Hsc2,D_1,t_1,D_2,t_2,D_3,t_3,pump_iob_0,pump_elapsed_0,pump_iob_1,pump_elapsed_1,pump_iob_2,pump_elapsed_2,pump_iob_3,pump_elapsed_3,pump_iob
0,0.0,100.0,149.0,104.87341772151899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95,93.0,0.0,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,100.02319923222875,149.03456685602083,104.97570329111791,0.0,0.0,0.0,0.0,4.839338813946901e-10,7.043712364107405e-12,1.3852043319992323e-14,0.0,18.66936361076606,95.45442966658342,0.13327296810203842,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,100.05233898655042,149.07798508996012,105.0717892639454,0.0,0.0,0.0,0.0,9.374017085041785e-10,4.343825687832417e-11,1.0113765951558546e-12,0.0,21.325901336084353,100.87754197657554,0.8656722450822798,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,100.09098069096156,149.13556122953273,105.16290853812889,0.0,0.0,0.0,0.0,9.121320996533192e-10,8.370761149621513e-11,3.908491749818895e-12,0.0,22.81216296437893,107.40430091365758,2.3917040827213256,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,100.14289198735347,149.21290906115667,105.25054076544941,0.0,0.0,0.0,0.0,8.710121720578229e-10,1.204316854284425e-10,8.499706082959572e-12,0.0,23.631124325739975,114.0558379633612,4.674970339400668,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,100.21112764903884,149.31458019706787,105.33636095815125,0.0,0.0,0.0,0.0,8.314432470307432e-10,1.5366377575148245e-10,1.4579866107735686e-11,0.0,24.065592784131287,120.34230568543698,7.580424944750422,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,100.29773249430616,149.44362141651618,105.42213971845811,0.0,0.0,0.0,0.0,7.936664438345332e-10,1.8364494469891993e-10,2.1957734773114706e-11,0.0,24.27436033935138,126.04008457308571,10.942782430421087,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,100.40374341194953,149.6015776838048,105.50964024710807,0.0,0.0,0.0,0.0,7.576060275914929e-10,2.1060606617923414e-10,3.045623746638967e-11,0.0,24.346523295869403,131.0678801473296,14.600042922752811,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,100.5293217699828,149.78868943727437,105.60053158682094,0.0,0.0,0.0,0.0,7.231842331636175e-10,2.3476517870834733e-10,3.99113230716303e-11,0.0,24.332174102131436,135.41820887809033,18.408327807447947,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,100.67392784561133,150.0041524899609,105.69632353732383,0.0,0.0,0.0,0.0,6.903267984290444e-10,2.563285268206604e-10,5.017074470330665e-11,0.0,24.259763636967268,139.11980912799064,22.246999586506416,0.0,0.0,0.0,0.0,30000.0,480.0,60000.0,720.0,60000.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
